Name,URL,Team,Age,RestrictArea_FGM,RestrictArea_FGA,RestrictArea_FGpercent,Paint_FGM,Paint_FGA,Paint_FGpercent,MidRange_FGM,MidRange_FGA,MidRange_FGpercent,LeftCorner3_FGM,LeftCorner3_FGA,LeftCorner3_FGpercent,RightCorner3_FGM,RightCorner3_FGA,RightCorner3_FGpercent,Totals_FGM,Totals_FGA,Totals_FGpercent,AboveBreak3_FGM,AboveBreak3_FGA,AboveBreak3_FGpercent
Aaron Brooks,/stats/player/201166/,MIN,33.0,0.3,0.6,46.7,0.1,0.3,28.6,0.3,0.6,50.0,0.1,0.2,33.3,0.2,0.2,100.0,0.2,0.3,60.0,0.3,0.8,33.3
Aaron Gordon,/stats/player/203932/,ORL,22.0,3.2,4.6,69.7,0.4,1.7,22.0,0.9,2.7,33.1,0.3,0.8,35.6,0.2,0.5,38.5,0.4,1.2,36.6,1.5,4.7,33.0
Aaron Harrison,/stats/player/1626151/,DAL,23.0,0.6,1.0,55.6,0.2,0.4,50.0,0.3,1.4,23.1,0.1,1.0,11.1,0.1,0.6,20.0,0.2,1.6,14.3,0.8,3.2,24.1
Aaron Jackson,/stats/player/1628935/,HOU,32.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3
Abdel Nader,/stats/player/1627846/,BOS,24.0,0.4,1.0,42.6,0.1,0.6,17.9,0.0,0.2,22.2,0.1,0.3,40.0,0.2,0.6,35.7,0.3,0.7,37.5,0.3,0.9,34.1
Adreian Payne,/stats/player/203940/,ORL,27.0,0.2,0.2,100.0,0.5,0.5,100.0,0.5,1.0,50.0,0.3,0.3,100.0,0.0,0.0,0.0,0.3,0.3,100.0,0.3,0.5,50.0
Al Horford,/stats/player/201143/,BOS,32.0,1.8,2.6,69.2,1.1,2.6,41.7,0.9,2.1,42.2,0.1,0.3,50.0,0.1,0.3,55.6,0.3,0.5,52.8,1.1,2.7,40.8
Al Jefferson,/stats/player/2744/,IND,33.0,1.1,1.8,59.4,1.1,1.9,58.8,0.9,2.1,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Al-Farouq Aminu,/stats/player/202329/,POR,27.0,1.2,2.0,59.7,0.2,0.9,25.8,0.1,0.6,14.3,0.3,0.7,42.6,0.4,0.7,52.0,0.7,1.4,47.4,1.1,3.5,32.6
Alan Williams,/stats/player/1626210/,PHX,25.0,0.8,1.4,57.1,0.6,2.0,30.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,/stats/player/202692/,UTA,26.0,1.1,1.8,60.2,0.4,1.3,28.9,0.4,1.1,39.4,0.1,0.2,38.5,0.1,0.2,25.0,0.1,0.4,32.0,0.6,1.8,33.6
Alec Peters,/stats/player/1628409/,PHX,23.0,0.3,0.5,60.0,0.1,0.1,100.0,0.1,0.2,50.0,0.2,0.6,36.4,0.1,0.6,14.3,0.3,1.1,27.8,0.7,2.0,32.5
Alex Abrines,/stats/player/203518/,OKC,24.0,0.3,0.6,57.5,0.1,0.2,40.0,0.0,0.2,17.6,0.1,0.4,37.5,0.2,0.6,37.1,0.3,0.9,37.3,0.8,2.2,38.4
Alex Caruso,/stats/player/1627936/,LAL,24.0,0.8,1.1,70.0,0.1,0.5,26.3,0.1,0.4,28.6,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.4,1.0,35.1
Alex Len,/stats/player/203458/,PHX,25.0,2.7,4.4,61.6,0.2,0.6,38.5,0.1,0.4,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3
Alex Poythress,/stats/player/1627816/,IND,24.0,0.3,0.5,58.3,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,50.0,0.1,0.3,50.0,0.1,0.3,50.0,0.1,0.3,28.6
Alfonzo McKinnie,/stats/player/1628035/,TOR,25.0,0.2,0.2,100.0,0.2,0.3,66.7,0.1,0.1,100.0,0.3,0.6,50.0,0.0,0.2,0.0,0.3,0.7,40.0,0.1,0.4,25.0
Allen Crabbe,/stats/player/203459/,BKN,26.0,0.8,1.1,71.4,0.4,1.1,38.8,0.6,1.7,34.1,0.2,0.5,47.1,0.2,0.6,33.3,0.4,1.1,39.2,2.3,6.0,37.9
Amir Johnson,/stats/player/101161/,PHI,31.0,1.2,1.8,66.2,0.5,1.1,45.1,0.0,0.1,30.0,0.0,0.0,0.0,0.1,0.1,50.0,0.0,0.1,33.3,0.1,0.3,31.8
Andre Drummond,/stats/player/203083/,DET,24.0,5.1,8.1,63.0,0.8,2.8,28.7,0.1,0.3,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Andre Iguodala,/stats/player/2738/,GSW,34.0,1.3,1.7,75.5,0.2,0.5,28.6,0.3,0.9,37.9,0.0,0.2,0.0,0.1,0.2,33.3,0.1,0.4,17.4,0.5,1.4,31.9
Andre Ingram,/stats/player/201281/,LAL,32.0,0.0,0.0,0.0,1.0,2.0,50.0,0.5,2.0,25.0,0.5,0.5,100.0,0.0,0.0,0.0,0.5,0.5,100.0,2.0,4.0,50.0
Andre Roberson,/stats/player/203460/,OKC,26.0,2.0,3.2,64.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.4,28.6,0.0,0.2,0.0,0.1,0.5,19.0,0.1,0.4,26.7
Andrew Bogut,/stats/player/101106/,LAL,33.0,0.6,0.8,77.8,0.1,0.3,33.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Harrison,/stats/player/1626150/,MEM,23.0,1.4,2.4,56.9,0.4,1.0,35.7,0.6,1.7,38.3,0.2,0.6,28.6,0.1,0.3,33.3,0.2,0.8,30.2,0.6,1.8,34.3
Andrew White III,/stats/player/1628510/,ATL,25.0,0.2,0.6,33.3,0.2,0.4,60.0,0.1,0.7,10.0,0.2,0.3,50.0,0.2,0.5,33.3,0.3,0.8,40.0,0.9,2.6,35.9
Andrew Wiggins,/stats/player/203952/,MIN,23.0,2.8,4.1,67.6,1.3,3.0,43.7,1.5,4.6,31.8,0.2,0.5,41.5,0.1,0.3,40.9,0.3,0.8,41.3,1.0,3.3,31.5
